Time,Current,Power
95.686,0,0.165
96.064,0,0.034
96.41,0,0
96.774,0,0
97.146,0,0
97.501,0,0
97.861,0,0
98.21,0,0
98.569,0,0
98.951,0,0
99.323,0,0
99.703,0,0
100.082,0,0
100.465,0,0
100.816,0,0
101.164,0,0
101.514,0,0
101.89,0,0
102.28,0,0
102.654,0,0
103.007,0,0
103.381,0,0
103.756,0,0
104.11,0,0
104.508,0,0
104.875,0,0
105.238,0,0
105.626,0,0
105.986,0,0
106.34,0,0
106.701,0,0
107.076,0,0
107.426,0,0
107.774,0,0
108.123,0,0
108.482,0,0
108.849,0,0
109.197,0,0
109.545,0,0
109.894,0,0
110.284,0,0
110.676,0,0
111.034,0,0
111.39,0,0
111.748,0,0
112.112,0,0
112.489,0,0
112.849,0,0
113.199,0,0
113.549,0,0
